detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity,aggregation_level,group_name,run_name,run_label,family,parameter_count,rank
first_answer,1.0,0.0413333333333333,0.7816000000000001,0.7402666666666667,1.0,0.0,0.0,run,qwen2p5_32b,qwen2p5_32b,Qwen 32B,Qwen2.5 instruct,32B,9
oracle,2.857333333333333,0.6431333333333333,0.6431333333333333,0.0,0.0,0.0,0.0,run,qwen2p5_7b,qwen2p5_7b,Qwen 7B,Qwen2.5 instruct,7B,1
verifier_first_correct,4.379333333333333,0.5923666666666666,0.6431333333333333,0.0507666666666666,0.274,0.2386666666666666,1.909333333333333,run,qwen2p5_7b,qwen2p5_7b,Qwen 7B,Qwen2.5 instruct,7B,2
answer_stability,4.384,0.4888,0.6431333333333333,0.1543333333333333,0.0506666666666666,0.892,1.6086666666666667,run,qwen2p5_7b,qwen2p5_7b,Qwen 7B,Qwen2.5 instruct,7B,3
hazard_drift,3.842,0.4759,0.6431333333333333,0.1672333333333333,0.0926666666666666,0.6246666666666667,1.162,run,qwen2p5_7b,qwen2p5_7b,Qwen 7B,Qwen2.5 instruct,7B,4
e_process,5.6,0.4453333333333333,0.6431333333333333,0.1978,0.032,0.9286666666666666,2.798666666666666,run,qwen2p5_7b,qwen2p5_7b,Qwen 7B,Qwen2.5 instruct,7B,5
entropy_plateau,3.786666666666666,0.4393333333333333,0.6431333333333333,0.2037999999999999,0.1346666666666666,0.6913333333333334,1.236,run,qwen2p5_7b,qwen2p5_7b,Qwen 7B,Qwen2.5 instruct,7B,6
empirical_bernstein,9.0,0.3026666666666666,0.6431333333333333,0.3404666666666667,0.0026666666666666,0.994,6.145333333333333,run,qwen2p5_7b,qwen2p5_7b,Qwen 7B,Qwen2.5 instruct,7B,7
first_answer,1.0,0.274,0.6431333333333333,0.3691333333333333,1.0,0.0,0.0,run,qwen2p5_7b,qwen2p5_7b,Qwen 7B,Qwen2.5 instruct,7B,8
never_stop,10.0,0.2553333333333333,0.6431333333333333,0.3878,0.0,0.9973333333333332,7.142666666666667,run,qwen2p5_7b,qwen2p5_7b,Qwen 7B,Qwen2.5 instruct,7B,9
