cell,model,dataset,n_runs,stop_mismatches,delta_full_DEPLOY,fold_delta_min,fold_delta_max,oof_dU,oof_win,oof_tie,oof_loss,base_win,base_tie,base_loss,base_loss_pct,oof_loss_pct,cal_full_dU_INSAMPLE,cal_full_loss_INSAMPLE
qwen2p5_0p5b__math,qwen2p5_0p5b,math,1500,0,0.15,0.15,0.15,33.9,1492,2,6,1474,24,2,0.13,0.4,33.9,6
qwen2p5_14b__arc,qwen2p5_14b,arc,1500,0,0.145,0.145,0.15,47.35,1494,1,5,1494,2,4,0.27,0.33,48.2,4
qwen2p5_14b__gpqa,qwen2p5_14b,gpqa,1344,0,0.135,0.13,0.15,34.45,1284,0,60,1297,13,34,2.53,4.46,37.0,59
qwen2p5_14b__gsm8k,qwen2p5_14b,gsm8k,1500,0,-0.15,-0.15,-0.15,31.2,874,432,194,891,331,278,18.53,12.93,31.2,194
qwen2p5_14b__math,qwen2p5_14b,math,1500,0,0.15,0.15,0.15,34.45,976,304,220,849,478,173,11.53,14.67,34.45,220
qwen2p5_32b__arc,qwen2p5_32b,arc,1500,0,0.15,0.15,0.15,79.3,1492,0,8,1492,3,5,0.33,0.53,79.3,8
qwen2p5_32b__gpqa,qwen2p5_32b,gpqa,1344,0,0.045,0.035,0.15,-0.55,1262,1,81,1293,4,47,3.5,6.03,9.6,61
qwen2p5_32b__gsm8k,qwen2p5_32b,gsm8k,1500,0,-0.055,-0.055,-0.045,15.05,1340,9,151,1309,0,191,12.73,10.07,18.0,143
qwen2p5_32b__math,qwen2p5_32b,math,1500,0,-0.075,-0.075,-0.03,3.8,1251,79,170,1233,46,221,14.73,11.33,9.2,153
qwen2p5_3b__arc,qwen2p5_3b,arc,1500,0,0.15,0.125,0.15,6.85,1444,1,55,1442,11,47,3.13,3.67,8.7,55
qwen2p5_3b__gpqa,qwen2p5_3b,gpqa,1343,0,0.125,0.125,0.15,18.6,1222,0,121,1242,1,100,7.45,9.01,20.35,119
qwen2p5_3b__gsm8k,qwen2p5_3b,gsm8k,1500,0,0.02,0.02,0.055,2.15,1258,1,241,1274,3,223,14.87,16.07,7.15,232
qwen2p5_3b__math,qwen2p5_3b,math,1500,0,0.15,0.15,0.15,107.8,1374,3,123,1339,79,82,5.47,8.2,107.8,123
qwen2p5_7b__arc,qwen2p5_7b,arc,1500,0,0.15,0.14,0.15,36.6,1488,0,12,1491,0,9,0.6,0.8,37.2,12
qwen2p5_7b__gpqa,qwen2p5_7b,gpqa,1344,0,0.15,0.125,0.15,20.45,1278,0,66,1295,1,48,3.57,4.91,21.95,66
qwen2p5_7b__gsm8k,qwen2p5_7b,gsm8k,1500,0,0.01,0.01,0.015,1.05,1357,0,143,1363,0,137,9.13,9.53,2.5,141
qwen2p5_7b__math,qwen2p5_7b,math,1500,0,0.145,0.14,0.145,43.35,1366,1,133,1374,35,91,6.07,8.87,44.9,133
yi_1p5_9b_chat__arc,yi_1p5_9b_chat,arc,1500,0,0.015,0.015,0.065,-0.45,1454,0,46,1455,6,39,2.6,3.07,0.4,45
yi_1p5_9b_chat__gpqa,yi_1p5_9b_chat,gpqa,1343,0,0.125,0.125,0.145,18.1,1246,7,90,1235,27,81,6.03,6.7,20.0,89
yi_1p5_9b_chat__gsm8k,yi_1p5_9b_chat,gsm8k,1500,0,-0.005,-0.005,-0.005,3.95,1349,42,109,1345,42,113,7.53,7.27,3.95,109
yi_1p5_9b_chat__math,yi_1p5_9b_chat,math,1499,0,0.15,0.15,0.15,107.8,1404,12,83,1330,109,60,4.0,5.54,107.8,83
