detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity
first_answer,1.0,0.8833333333333333,0.8500999999999999,-0.03323333333333337,1.0,0.0,0.0
verifier_first_correct,1.656,0.8805333333333333,0.8500999999999999,-0.030433333333333375,0.8833333333333333,0.08666666666666667,0.52
oracle,2.0246666666666666,0.8500999999999999,0.8500999999999999,0.0,0.0,0.0,0.0
answer_stability,2.0566666666666666,0.8371666666666666,0.8500999999999999,0.012933333333333333,0.010666666666666666,0.05,0.051333333333333335
empirical_bernstein,2.0,0.8366666666666667,0.8500999999999999,0.013433333333333335,0.014666666666666666,0.0,0.0
e_process,2.0,0.8366666666666667,0.8500999999999999,0.013433333333333335,0.014666666666666666,0.0,0.0
hazard_drift,2.6146666666666665,0.8112666666666666,0.8500999999999999,0.038833333333333324,0.006666666666666667,0.268,0.604
entropy_plateau,2.5753333333333335,0.8112333333333333,0.8500999999999999,0.038866666666666654,0.008,0.296,0.566
never_stop,8.0,0.5459999999999999,0.8500999999999999,0.30410000000000004,0.0,1.0,5.975333333333333
