model,task_source_index,T_c,alpha_mean,beta_mean,alpha_beta_ratio,n_runs
Qwen 7B,0,1,0.1,0.06666666666666667,1.5,3
Qwen 7B,1,1,0.06666666666666667,0.1,0.6666666666666666,3
Qwen 7B,2,1,0.03333333333333333,0.1,0.3333333333333333,3
Qwen 7B,3,1,0.18333333333333332,0.1,1.833333333333333,3
Qwen 7B,4,1,0.0,0.0,0.0,3
Qwen 7B,5,1,0.03333333333333333,0.1,0.3333333333333333,3
Qwen 7B,6,1,0.06666666666666667,0.1,0.6666666666666666,3
Qwen 7B,7,1,0.1,0.03333333333333333,3.0,3
Qwen 7B,8,1,0.18333333333333332,0.1,1.833333333333333,3
Qwen 7B,9,1,0.18333333333333332,0.0,inf,3
Qwen 7B,10,1,0.03333333333333333,0.0,inf,3
Qwen 7B,11,1,0.13333333333333333,0.2,0.6666666666666666,3
Qwen 7B,12,1,0.1,0.1,1.0,3
Qwen 7B,13,1,0.18333333333333332,0.0,inf,3
Qwen 7B,14,1,0.06666666666666667,0.05,1.3333333333333333,3
Qwen 7B,15,1,0.16666666666666666,0.0,inf,3
Qwen 7B,16,2,0.16666666666666666,0.1,1.6666666666666665,3
Qwen 7B,17,1,0.13333333333333333,0.1,1.3333333333333333,3
Qwen 7B,18,1,0.08333333333333333,0.1,0.8333333333333333,3
Qwen 7B,19,1,0.2,0.1,2.0,3
Qwen 7B,20,1,0.03333333333333333,0.0,inf,3
Qwen 7B,21,1,0.13333333333333333,0.23333333333333334,0.5714285714285714,3
Qwen 7B,22,1,0.18333333333333332,0.0,inf,3
Qwen 7B,23,2,0.35,0.08333333333333333,4.2,3
Qwen 7B,24,1,0.06666666666666667,0.1,0.6666666666666666,3
Qwen 7B,25,1,0.16666666666666666,0.1,1.6666666666666665,3
Qwen 7B,26,1,0.03333333333333333,0.1,0.3333333333333333,3
Qwen 7B,27,2,0.2333333333333333,0.25,0.9333333333333332,3
Qwen 7B,28,1,0.2,0.15,1.3333333333333335,3
Qwen 7B,29,1,0.16666666666666666,0.0,inf,3
Qwen 7B,30,1,0.2833333333333333,0.03333333333333333,8.5,3
Qwen 7B,31,1,0.06666666666666667,0.1,0.6666666666666666,3
Qwen 7B,32,1,0.08333333333333333,0.1,0.8333333333333333,3
Qwen 7B,33,1,0.13333333333333333,0.2,0.6666666666666666,3
Qwen 7B,34,1,0.08333333333333333,0.1,0.8333333333333333,3
Qwen 7B,35,1,0.03333333333333333,0.0,inf,3
Qwen 7B,36,1,0.1,0.16666666666666666,0.6000000000000001,3
Qwen 7B,37,1,0.2833333333333333,0.13333333333333333,2.125,3
Qwen 7B,38,1,0.03333333333333333,0.15,0.22222222222222224,3
Qwen 7B,39,1,0.16666666666666666,0.1,1.6666666666666665,3
Qwen 7B,40,1,0.03333333333333333,0.0,inf,3
Qwen 7B,41,1,0.16666666666666666,0.0,inf,3
Qwen 7B,42,1,0.26666666666666666,0.1,2.6666666666666665,3
Qwen 7B,43,1,0.1,0.1,1.0,3
Qwen 7B,44,1,0.16666666666666666,0.1,1.6666666666666665,3
Qwen 7B,45,1,0.25,0.1,2.5,3
Qwen 7B,46,1,0.1,0.03333333333333333,3.0,3
Qwen 7B,47,1,0.13333333333333333,0.1,1.3333333333333333,3
Qwen 7B,48,1,0.16666666666666666,0.15,1.1111111111111112,3
Qwen 7B,49,1,0.16666666666666666,0.1,1.6666666666666665,3
Qwen 7B,50,1,0.2,0.16666666666666666,1.2000000000000002,3
Qwen 7B,51,1,0.13333333333333333,0.0,inf,3
