run_id,brier,auc
qwen2p5_7b__gsm8k_train_00020_7d8a849a__temp1.00__seed7,0.13197190696392477,
qwen2p5_7b__gsm8k_train_00021_8849281d__temp0.10__seed7,0.12113393020138141,0.9583333333333334
qwen2p5_7b__gsm8k_train_00021_8849281d__temp0.60__seed7,0.13909364139966393,0.8125
qwen2p5_7b__gsm8k_train_00021_8849281d__temp1.00__seed7,0.06909648018691716,1.0
qwen2p5_7b__gsm8k_train_00022_80c4da46__temp0.10__seed7,0.056474049695503625,1.0
qwen2p5_7b__gsm8k_train_00022_80c4da46__temp0.60__seed7,0.061139722557621824,1.0
qwen2p5_7b__gsm8k_train_00022_80c4da46__temp1.00__seed7,0.1006131339664186,0.9523809523809524
qwen2p5_7b__gsm8k_train_00023_5c659510__temp0.10__seed7,0.19716413178195497,0.8571428571428571
qwen2p5_7b__gsm8k_train_00023_5c659510__temp0.60__seed7,0.15577965876438032,0.9375
qwen2p5_7b__gsm8k_train_00023_5c659510__temp1.00__seed7,0.23861126227314422,
qwen2p5_7b__gsm8k_train_00024_f139cc04__temp0.10__seed7,0.24201619620930243,0.8571428571428572
qwen2p5_7b__gsm8k_train_00024_f139cc04__temp0.60__seed7,0.3655875844192506,
qwen2p5_7b__gsm8k_train_00024_f139cc04__temp1.00__seed7,0.34732983147672514,
qwen2p5_7b__gsm8k_train_00025_1a030c71__temp0.10__seed7,0.16646576648770822,1.0
qwen2p5_7b__gsm8k_train_00025_1a030c71__temp0.60__seed7,0.15267804060934415,1.0
qwen2p5_7b__gsm8k_train_00025_1a030c71__temp1.00__seed7,0.10456584732322778,0.9523809523809524
qwen2p5_7b__gsm8k_train_00026_bf9e0c24__temp0.10__seed7,0.09276812617510927,0.9583333333333334
qwen2p5_7b__gsm8k_train_00026_bf9e0c24__temp0.60__seed7,0.33098794628357897,
qwen2p5_7b__gsm8k_train_00026_bf9e0c24__temp1.00__seed7,0.3223258875899273,
qwen2p5_7b__gsm8k_train_00027_21e7ba75__temp0.10__seed7,0.41530294001810997,0.2222222222222222
qwen2p5_7b__gsm8k_train_00027_21e7ba75__temp0.60__seed7,0.04833902462478616,1.0
qwen2p5_7b__gsm8k_train_00027_21e7ba75__temp1.00__seed7,0.09617100683054022,0.9523809523809524
qwen2p5_7b__gsm8k_train_00028_07c2d0db__temp0.10__seed7,0.09309452976465617,1.0
qwen2p5_7b__gsm8k_train_00028_07c2d0db__temp0.60__seed7,0.04266711515295856,1.0
