detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity
oracle,3.9273333333333333,0.5642999999999999,0.5642999999999999,0.0,0.0,0.0,0.0
verifier_first_correct,6.078666666666667,0.46873333333333334,0.5642999999999999,0.09556666666666666,0.03,0.2773333333333333,2.2186666666666666
hazard_drift,5.756666666666667,0.21083333333333334,0.5642999999999999,0.3534666666666667,0.21733333333333332,0.438,2.304666666666667
e_process,7.0,0.1653333333333333,0.5642999999999999,0.3989666666666667,0.08066666666666666,0.8533333333333334,3.224666666666667
entropy_plateau,4.2,0.13,0.5642999999999999,0.4343,0.3313333333333333,0.6466666666666666,1.312
answer_stability,7.227333333333333,0.10196666666666666,0.5642999999999999,0.4623333333333333,0.116,0.8553333333333333,3.6086666666666667
empirical_bernstein,9.0,0.07333333333333332,0.5642999999999999,0.4909666666666667,0.015333333333333332,0.944,5.088
first_answer,1.0,0.03,0.5642999999999999,0.5343,1.0,0.0,0.0
never_stop,10.0,-0.0033333333333333175,0.5642999999999999,0.5676333333333333,0.0,0.9846666666666667,6.072666666666667
