model_alias,dataset,parameter_count,step1_accuracy,peak_accuracy,peak_step,corrected_boundary_step,empirical_boundary_step,fitted_boundary_step,max_steps,repair_rate_overall,corruption_rate_overall,probe_auc,late_boundary_assessment,capability_gate_met
internlm3_8b_instruct,arc,8B,0.8833333333333333,0.896,7,2.0,2.0,2.0,8,0.050532909794448,0.0044069433549171,0.6098504672897196,No late-boundary replication,True
yi_1p5_9b_chat,arc,9B,0.814,0.8166666666666667,2,2.0,2.0,2.0,8,0.1286923297886674,0.0319294300738617,0.6754956102683929,No late-boundary replication,True
mistral_small_24b_2409,arc,22B,0.536,0.8906666666666667,8,3.0,3.0,3.0,8,0.2347409911195712,0.015879900830523,0.7761629616970755,Weakened late-boundary support,True
llama_3p1_8b_instruct,arc,8B,0.5833333333333334,0.772,7,2.0,2.0,2.0,8,0.2629403159780478,0.0666688805918709,0.7481250976676291,No late-boundary replication,True
deepseek_r1_distill_1p5b,gpqa,1.5B,0.206845238095238,0.2269345238095238,10,2.0,2.0,2.0,10,0.1015666435110495,0.366313017779389,0.5325481653238135,No late-boundary replication,True
deepseek_r1_distill_7b,gpqa,7B,0.2135416666666666,0.2142857142857142,5,2.0,2.0,2.0,10,0.1059226972154193,0.4182951610964694,0.5502377193220231,No late-boundary replication,True
qwen2p5_0p5b,gpqa,0.5B,0.2034277198211624,0.2034277198211624,1,2.0,2.0,2.0,10,0.0271365559923598,0.1342203170926609,0.5451923427529626,No late-boundary replication,True
qwen2p5_3b,gpqa,3B,0.1690245718540581,0.2278481012658227,10,2.0,2.0,2.0,10,0.0344846395646138,0.105281596923121,0.5728548756380601,No late-boundary replication,True
qwen2p5_7b,gpqa,7B,0.3117559523809524,0.3296130952380952,5,2.0,2.0,2.0,10,0.0244913005466673,0.0473155832314588,0.531639328352635,No late-boundary replication,True
qwen2p5_14b,gpqa,14B,0.3325892857142857,0.3578869047619047,9,2.0,2.0,2.0,10,0.0175548374572768,0.0257319726557649,0.5373037999245793,No late-boundary replication,True
qwen2p5_32b,gpqa,32B,0.2827380952380952,0.3705357142857143,9,2.0,2.0,3.0,10,0.0275804262299892,0.0288908880897926,0.536975043846534,No late-boundary replication,True
mistral_7b_instruct_v0p3,gpqa,7B,0.2775297619047619,0.2879464285714285,4,2.0,2.0,2.0,10,0.0518331559007924,0.1308847042526407,0.5209210842502355,No late-boundary replication,True
phi_4_mini_instruct,gpqa,4B,0.2641369047619047,0.2864583333333333,7,2.0,2.0,2.0,10,0.0889111578510297,0.2255275740739794,0.5486219877797719,No late-boundary replication,True
internlm3_8b_instruct,gpqa,8B,0.3519345238095238,0.3742559523809524,3,2.0,2.0,2.0,10,0.0309997981585354,0.0491142913636409,0.5266498655308893,No late-boundary replication,True
yi_1p5_9b_chat,gpqa,9B,0.2695457930007446,0.3023082650781831,10,2.0,2.0,2.0,10,0.045188723982325,0.1023429013272466,0.5167248854047857,No late-boundary replication,True
mistral_small_24b_2409,gpqa,22B,0.1703869047619047,0.3556547619047619,10,2.0,2.0,3.0,10,0.0555854573674493,0.0792911293147967,0.6137823481999242,No late-boundary replication,True
llama_3p1_8b_instruct,gpqa,8B,0.1721311475409836,0.3256333830104322,10,2.0,2.0,3.0,10,0.1004515652542817,0.2105070751217208,0.5714616068417987,No late-boundary replication,True
