detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity,model,dataset
oracle,3.231333333333333,0.6331,0.6331,0.0,0.0,0.0,0.0,deepseek_r1_distill_1p5b,gsm8k
verifier_first_correct,4.572,0.5787333333333333,0.6331,0.0543666666666666,0.3113333333333333,0.2426666666666666,1.9413333333333331,deepseek_r1_distill_1p5b,gsm8k
first_answer,1.0,0.3113333333333333,0.6331,0.3217666666666666,1.0,0.0,0.0,deepseek_r1_distill_1p5b,gsm8k
hazard_drift,4.184,0.2461333333333333,0.6331,0.3869666666666667,0.208,0.5286666666666666,1.544,deepseek_r1_distill_1p5b,gsm8k
entropy_plateau,5.375333333333334,0.2065666666666666,0.6331,0.4265333333333333,0.1473333333333333,0.6773333333333333,2.561333333333333,deepseek_r1_distill_1p5b,gsm8k
e_process,4.2,0.1726666666666666,0.6331,0.4604333333333333,0.22,0.6553333333333333,1.6153333333333333,deepseek_r1_distill_1p5b,gsm8k
empirical_bernstein,9.0,-0.04,0.6331,0.6731,0.0126666666666666,0.9653333333333334,5.781333333333333,deepseek_r1_distill_1p5b,gsm8k
answer_stability,9.857333333333331,-0.0888666666666666,0.6331,0.7219666666666666,0.0,0.9853333333333332,6.626,deepseek_r1_distill_1p5b,gsm8k
never_stop,10.0,-0.1006666666666666,0.6331,0.7337666666666666,0.0,0.9873333333333332,6.768666666666666,deepseek_r1_distill_1p5b,gsm8k
oracle,2.718,0.1080999999999999,0.1080999999999999,0.0,0.0,0.0,0.0,deepseek_r1_distill_1p5b,math
first_answer,1.0,0.0433333333333333,0.1080999999999999,0.0647666666666666,1.0,0.0,0.0,deepseek_r1_distill_1p5b,math
e_process,2.0,-0.0106666666666666,0.1080999999999999,0.1187666666666666,0.1546666666666666,0.0,0.0,deepseek_r1_distill_1p5b,math
hazard_drift,2.381333333333333,-0.0277333333333333,0.1080999999999999,0.1358333333333333,0.1506666666666666,0.1166666666666666,0.3746666666666666,deepseek_r1_distill_1p5b,math
verifier_first_correct,12.182666666666666,-0.3604666666666667,0.1080999999999999,0.4685666666666667,0.0433333333333333,0.8013333333333333,9.616,deepseek_r1_distill_1p5b,math
empirical_bernstein,11.0,-0.4493333333333334,0.1080999999999999,0.5574333333333334,0.0273333333333333,0.9633333333333334,8.402,deepseek_r1_distill_1p5b,math
entropy_plateau,12.495333333333331,-0.5141,0.1080999999999999,0.6222,0.0086666666666666,0.9786666666666668,9.806666666666668,deepseek_r1_distill_1p5b,math
answer_stability,14.0,-0.596,0.1080999999999999,0.7041,0.0,0.996,11.282,deepseek_r1_distill_1p5b,math
never_stop,14.0,-0.596,0.1080999999999999,0.7041,0.0,0.996,11.282,deepseek_r1_distill_1p5b,math
oracle,2.9386666666666668,0.5370666666666667,0.5370666666666667,0.0,0.0,0.0,0.0,deepseek_r1_distill_1p5b,arc
verifier_first_correct,4.491333333333333,0.4901,0.5370666666666667,0.0469666666666666,0.2606666666666666,0.3353333333333333,2.012,deepseek_r1_distill_1p5b,arc
first_answer,1.0,0.2606666666666666,0.5370666666666667,0.2764,1.0,0.0,0.0,deepseek_r1_distill_1p5b,arc
hazard_drift,2.07,0.2231666666666666,0.5370666666666667,0.3139,0.3493333333333333,0.0393333333333333,0.0566666666666666,deepseek_r1_distill_1p5b,arc
e_process,3.2,0.1526666666666666,0.5370666666666667,0.3844,0.2306666666666666,0.5753333333333334,0.8193333333333334,deepseek_r1_distill_1p5b,arc
entropy_plateau,4.056666666666667,0.1465,0.5370666666666667,0.3905666666666667,0.184,0.5546666666666666,1.5746666666666669,deepseek_r1_distill_1p5b,arc
empirical_bernstein,7.0,-0.028,0.5370666666666667,0.5650666666666667,0.032,0.9366666666666666,4.093333333333334,deepseek_r1_distill_1p5b,arc
answer_stability,7.946666666666666,-0.0613333333333333,0.5370666666666667,0.5984,0.002,0.964,5.012666666666667,deepseek_r1_distill_1p5b,arc
never_stop,8.0,-0.0646666666666666,0.5370666666666667,0.6017333333333333,0.0,0.968,5.061333333333334,deepseek_r1_distill_1p5b,arc
oracle,2.7976190476190474,0.3669642857142857,0.3669642857142857,0.0,0.0,0.0,0.0,deepseek_r1_distill_1p5b,gpqa
first_answer,1.0,0.206845238095238,0.3669642857142857,0.1601190476190476,1.0,0.0,0.0,deepseek_r1_distill_1p5b,gpqa
verifier_first_correct,6.645833333333333,0.1946428571428571,0.3669642857142857,0.1723214285714285,0.206845238095238,0.5230654761904762,4.184523809523809,deepseek_r1_distill_1p5b,gpqa
hazard_drift,2.048363095238096,0.1640997023809523,0.3669642857142857,0.2028645833333333,0.238095238095238,0.0260416666666666,0.0319940476190476,deepseek_r1_distill_1p5b,gpqa
e_process,2.0,0.1635416666666666,0.3669642857142857,0.203422619047619,0.2433035714285714,0.0,0.0,deepseek_r1_distill_1p5b,gpqa
entropy_plateau,4.087053571428571,0.0740699404761904,0.3669642857142857,0.2928943452380952,0.1339285714285714,0.5446428571428571,1.722470238095238,deepseek_r1_distill_1p5b,gpqa
empirical_bernstein,9.0,-0.1894345238095238,0.3669642857142857,0.5563988095238096,0.0171130952380952,0.9702380952380952,6.219494047619048,deepseek_r1_distill_1p5b,gpqa
answer_stability,9.99404761904762,-0.2227678571428571,0.3669642857142857,0.5897321428571429,0.0007440476190476,0.9821428571428572,7.200892857142857,deepseek_r1_distill_1p5b,gpqa
never_stop,10.0,-0.2230654761904762,0.3669642857142857,0.5900297619047619,0.0,0.9828869047619048,7.2023809523809526,deepseek_r1_distill_1p5b,gpqa
verifier_first_correct,2.858,0.8157666666666668,0.8064333333333332,-0.0093333333333333,0.478,0.0913333333333333,0.7306666666666667,deepseek_r1_distill_7b,gsm8k
oracle,2.9513333333333334,0.8064333333333332,0.8064333333333332,0.0,0.0,0.0,0.0,deepseek_r1_distill_7b,gsm8k
hazard_drift,3.715333333333333,0.5249,0.8064333333333332,0.2815333333333333,0.1593333333333333,0.4766666666666667,1.143333333333333,deepseek_r1_distill_7b,gsm8k
first_answer,1.0,0.478,0.8064333333333332,0.3284333333333333,1.0,0.0,0.0,deepseek_r1_distill_7b,gsm8k
entropy_plateau,4.895333333333333,0.4625666666666667,0.8064333333333332,0.3438666666666666,0.114,0.7046666666666667,2.2173333333333334,deepseek_r1_distill_7b,gsm8k
e_process,7.6,0.1719999999999999,0.8064333333333332,0.6344333333333333,0.0346666666666666,0.928,4.724666666666667,deepseek_r1_distill_7b,gsm8k
answer_stability,8.990666666666666,0.1404666666666666,0.8064333333333332,0.6659666666666666,0.0006666666666666,0.9413333333333334,6.040666666666667,deepseek_r1_distill_7b,gsm8k
empirical_bernstein,9.0,0.0999999999999999,0.8064333333333332,0.7064333333333334,0.006,0.9866666666666668,6.054666666666667,deepseek_r1_distill_7b,gsm8k
never_stop,10.0,0.0293333333333333,0.8064333333333332,0.7770999999999999,0.0,0.994,7.048666666666667,deepseek_r1_distill_7b,gsm8k
oracle,2.904,0.2367999999999999,0.2367999999999999,0.0,0.0,0.0,0.0,deepseek_r1_distill_7b,math
first_answer,1.0,0.0866666666666666,0.2367999999999999,0.1501333333333333,1.0,0.0,0.0,deepseek_r1_distill_7b,math
e_process,3.0,0.0119999999999999,0.2367999999999999,0.2248,0.1653333333333333,0.7593333333333333,0.7593333333333333,deepseek_r1_distill_7b,math
hazard_drift,3.6353333333333335,-0.0111,0.2367999999999999,0.2479,0.1713333333333333,0.5,1.3573333333333333,deepseek_r1_distill_7b,math
verifier_first_correct,10.604666666666668,-0.1382333333333333,0.2367999999999999,0.3750333333333333,0.0866666666666666,0.658,7.896,deepseek_r1_distill_7b,math
entropy_plateau,11.474,-0.4150333333333333,0.2367999999999999,0.6518333333333334,0.0166666666666666,0.966,8.642666666666667,deepseek_r1_distill_7b,math
empirical_bernstein,13.0,-0.5133333333333334,0.2367999999999999,0.7501333333333333,0.0066666666666666,0.9873333333333332,10.102666666666666,deepseek_r1_distill_7b,math
answer_stability,13.939333333333334,-0.5643,0.2367999999999999,0.8011,0.0,0.992,11.035333333333334,deepseek_r1_distill_7b,math
never_stop,14.0,-0.5706666666666667,0.2367999999999999,0.8074666666666667,0.0,0.9933333333333332,11.096,deepseek_r1_distill_7b,math
oracle,2.764666666666667,0.7557666666666666,0.7557666666666666,0.0,0.0,0.0,0.0,deepseek_r1_distill_7b,arc
verifier_first_correct,3.087333333333333,0.7536333333333334,0.7557666666666666,0.0021333333333333,0.356,0.142,0.852,deepseek_r1_distill_7b,arc
hazard_drift,3.023333333333333,0.4581666666666666,0.7557666666666666,0.2976,0.2126666666666666,0.382,0.7106666666666667,deepseek_r1_distill_7b,arc
entropy_plateau,3.946,0.4146999999999999,0.7557666666666666,0.3410666666666666,0.1573333333333333,0.6106666666666667,1.508,deepseek_r1_distill_7b,arc
first_answer,1.0,0.356,0.7557666666666666,0.3997666666666666,1.0,0.0,0.0,deepseek_r1_distill_7b,arc
answer_stability,6.866,0.2846999999999999,0.7557666666666666,0.4710666666666667,0.0073333333333333,0.9233333333333332,4.120666666666667,deepseek_r1_distill_7b,arc
e_process,6.2,0.268,0.7557666666666666,0.4877666666666666,0.0313333333333333,0.938,3.4873333333333334,deepseek_r1_distill_7b,arc
empirical_bernstein,7.0,0.2326666666666666,0.7557666666666666,0.5231,0.0126666666666666,0.9653333333333334,4.248,deepseek_r1_distill_7b,arc
never_stop,8.0,0.1693333333333333,0.7557666666666666,0.5864333333333334,0.0,0.9873333333333332,5.235333333333333,deepseek_r1_distill_7b,arc
