run_id,brier,auc
phi_4_mini_instruct__gsm8k_train_00019_fe91f244__temp1.00__seed7,0.1329825787492759,
phi_4_mini_instruct__gsm8k_train_00020_7d8a849a__temp0.10__seed7,0.28851192810535414,
phi_4_mini_instruct__gsm8k_train_00020_7d8a849a__temp0.60__seed7,0.25915959581968,0.4375
phi_4_mini_instruct__gsm8k_train_00020_7d8a849a__temp1.00__seed7,0.2702376554352023,
phi_4_mini_instruct__gsm8k_train_00021_8849281d__temp0.10__seed7,0.20572702785037097,0.5
phi_4_mini_instruct__gsm8k_train_00021_8849281d__temp0.60__seed7,0.3353291885802204,
phi_4_mini_instruct__gsm8k_train_00021_8849281d__temp1.00__seed7,0.17707266756173798,0.9047619047619048
phi_4_mini_instruct__gsm8k_train_00022_80c4da46__temp0.10__seed7,0.2280187491248044,0.7142857142857143
phi_4_mini_instruct__gsm8k_train_00022_80c4da46__temp0.60__seed7,0.25078073591886973,0.48
phi_4_mini_instruct__gsm8k_train_00022_80c4da46__temp1.00__seed7,0.2882799223021736,
phi_4_mini_instruct__gsm8k_train_00023_5c659510__temp0.10__seed7,0.19599767899310425,0.9375
phi_4_mini_instruct__gsm8k_train_00023_5c659510__temp0.60__seed7,0.20931806275076684,0.76
phi_4_mini_instruct__gsm8k_train_00023_5c659510__temp1.00__seed7,0.24680529005787566,
phi_4_mini_instruct__gsm8k_train_00024_f139cc04__temp0.10__seed7,0.26798364857027435,
phi_4_mini_instruct__gsm8k_train_00024_f139cc04__temp0.60__seed7,0.31183123548150093,
phi_4_mini_instruct__gsm8k_train_00024_f139cc04__temp1.00__seed7,0.24197775346165193,0.2222222222222222
phi_4_mini_instruct__gsm8k_train_00025_1a030c71__temp0.10__seed7,0.12221505054096571,
phi_4_mini_instruct__gsm8k_train_00025_1a030c71__temp0.60__seed7,0.25684378709114075,
phi_4_mini_instruct__gsm8k_train_00025_1a030c71__temp1.00__seed7,0.2022295057493202,
