run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity,out_of_sample
qwen2p5_0p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,arc_test_00001_d4bf1bf9,oracle,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,arc_test_00001_d4bf1bf9,first_answer,1,1.0,2,0.95,-0.050000000000000044,1,0,0,1
qwen2p5_0p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,arc_test_00001_d4bf1bf9,verifier_first_correct,1,1.0,2,0.95,-0.050000000000000044,1,0,0,1
qwen2p5_0p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,arc_test_00001_d4bf1bf9,answer_stability,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,arc_test_00001_d4bf1bf9,entropy_plateau,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,arc_test_00001_d4bf1bf9,hazard_drift,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,arc_test_00001_d4bf1bf9,empirical_bernstein,7,0.7,2,0.95,0.25,0,1,5,1
qwen2p5_0p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,arc_test_00001_d4bf1bf9,e_process,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00001_d4bf1bf9__temp0.60__seed7,arc_test_00001_d4bf1bf9,never_stop,8,0.6499999999999999,2,0.95,0.30000000000000004,0,1,6,1
qwen2p5_0p5b__arc_test_00003_c16c54fb__temp0.10__seed7,arc_test_00003_c16c54fb,oracle,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00003_c16c54fb__temp0.10__seed7,arc_test_00003_c16c54fb,first_answer,1,1.0,2,0.95,-0.050000000000000044,1,0,0,1
qwen2p5_0p5b__arc_test_00003_c16c54fb__temp0.10__seed7,arc_test_00003_c16c54fb,verifier_first_correct,1,1.0,2,0.95,-0.050000000000000044,1,0,0,1
qwen2p5_0p5b__arc_test_00003_c16c54fb__temp0.10__seed7,arc_test_00003_c16c54fb,answer_stability,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00003_c16c54fb__temp0.10__seed7,arc_test_00003_c16c54fb,entropy_plateau,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00003_c16c54fb__temp0.10__seed7,arc_test_00003_c16c54fb,hazard_drift,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00003_c16c54fb__temp0.10__seed7,arc_test_00003_c16c54fb,empirical_bernstein,7,0.7,2,0.95,0.25,0,1,5,1
qwen2p5_0p5b__arc_test_00003_c16c54fb__temp0.10__seed7,arc_test_00003_c16c54fb,e_process,2,0.95,2,0.95,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00003_c16c54fb__temp0.10__seed7,arc_test_00003_c16c54fb,never_stop,8,0.6499999999999999,2,0.95,0.30000000000000004,0,1,6,1
qwen2p5_0p5b__arc_test_00004_89613a4b__temp1.00__seed7,arc_test_00004_89613a4b,oracle,2,-0.05,2,-0.05,0.0,0,0,0,1
qwen2p5_0p5b__arc_test_00004_89613a4b__temp1.00__seed7,arc_test_00004_89613a4b,first_answer,1,0.0,2,-0.05,-0.05,1,0,0,1
