detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity
oracle,2.226,0.41469999999999996,0.41469999999999996,0.0,0.0,0.0,0.0
first_answer,1.0,0.3873333333333333,0.41469999999999996,0.027366666666666647,1.0,0.0,0.0
e_process,2.0,0.3373333333333333,0.41469999999999996,0.07736666666666668,0.08866666666666667,0.0,0.0
hazard_drift,2.328666666666667,0.31889999999999996,0.41469999999999996,0.0958,0.07266666666666667,0.19933333333333333,0.2846666666666667
answer_stability,2.4673333333333334,0.3159666666666667,0.41469999999999996,0.09873333333333333,0.06666666666666667,0.18,0.41133333333333333
verifier_first_correct,4.766666666666667,0.31233333333333335,0.41469999999999996,0.10236666666666663,0.3873333333333333,0.49933333333333335,2.996
entropy_plateau,2.8193333333333332,0.30169999999999997,0.41469999999999996,0.113,0.058666666666666666,0.37533333333333335,0.7366666666666667
empirical_bernstein,7.0,0.09399999999999999,0.41469999999999996,0.3207,0.006666666666666667,0.9866666666666667,4.780666666666667
never_stop,8.0,0.04599999999999998,0.41469999999999996,0.36869999999999997,0.0,0.9933333333333333,5.774
