run_id,model_alias,model_name,task_id,domain,difficulty,task_source,task_source_index,temperature,seed,prompt_mode,system_prompt_mode,is_baseline,ever_correct,correct_at_step_1,oracle_stop,first_correct_step,first_model_stop_step,revision_count,best_utility,final_correct,device
gemma_4_e4b_it__gsm8k_train_00000_b5828bc4__temp0.10__seed7,gemma_4_e4b_it,principled-intelligence/gemma-4-E4B-it-text-only,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,0.1,7,minimal_json,default,0,1,0,10,10,10,4,0.55,1,cuda
gemma_4_e4b_it__gsm8k_train_00001_3691caf7__temp0.10__seed7,gemma_4_e4b_it,principled-intelligence/gemma-4-E4B-it-text-only,gsm8k_train_00001_3691caf7,gsm8k,grade_school_math,gsm8k,1,0.1,7,minimal_json,default,0,1,0,2,2,8,3,0.95,1,cuda
gemma_4_e4b_it__gsm8k_train_00002_ae407466__temp0.10__seed7,gemma_4_e4b_it,principled-intelligence/gemma-4-E4B-it-text-only,gsm8k_train_00002_ae407466,gsm8k,grade_school_math,gsm8k,2,0.1,7,minimal_json,default,0,1,0,2,2,10,3,0.95,1,cuda
gemma_4_e4b_it__gsm8k_train_00003_135cf83f__temp0.10__seed7,gemma_4_e4b_it,principled-intelligence/gemma-4-E4B-it-text-only,gsm8k_train_00003_135cf83f,gsm8k,grade_school_math,gsm8k,3,0.1,7,minimal_json,default,0,1,1,1,1,5,4,1.0,1,cuda
gemma_4_e4b_it__gsm8k_train_00004_3ee48c01__temp0.10__seed7,gemma_4_e4b_it,principled-intelligence/gemma-4-E4B-it-text-only,gsm8k_train_00004_3ee48c01,gsm8k,grade_school_math,gsm8k,4,0.1,7,minimal_json,default,0,1,1,1,1,8,2,1.0,0,cuda
