detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity,aggregation_level,group_name,run_name,run_label,family,parameter_count,rank
empirical_bernstein,9.0,-0.0977777777777778,0.6162777777777777,0.7140555555555556,0.02,0.9611111111111112,6.545555555555556,run,real_traces_l4_deepseek_1p5b,real_traces_l4_deepseek_1p5b,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,7
answer_stability,9.946666666666667,-0.1251111111111111,0.6162777777777777,0.7413888888888889,0.0,0.98,7.472222222222222,run,real_traces_l4_deepseek_1p5b,real_traces_l4_deepseek_1p5b,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,8
never_stop,10.0,-0.1299999999999999,0.6162777777777777,0.7462777777777777,0.0,0.98,7.525555555555556,run,real_traces_l4_deepseek_1p5b,real_traces_l4_deepseek_1p5b,DeepSeek 1.5B,DeepSeek-R1 distill,1.5B,9
oracle,1.0322222222222222,0.0883888888888888,0.0883888888888888,0.0,0.0,0.0,0.0,run,real_traces_l4_qwen_0p5b,real_traces_l4_qwen_0p5b,Qwen 0.5B,Qwen2.5 instruct,0.5B,1
first_answer,1.0,0.0711111111111111,0.0883888888888888,0.0172777777777777,0.0188888888888888,0.0,0.0,run,real_traces_l4_qwen_0p5b,real_traces_l4_qwen_0p5b,Qwen 0.5B,Qwen2.5 instruct,0.5B,2
e_process,2.0,0.0288888888888888,0.0883888888888888,0.0595,0.0077777777777777,0.9811111111111112,0.9811111111111112,run,real_traces_l4_qwen_0p5b,real_traces_l4_qwen_0p5b,Qwen 0.5B,Qwen2.5 instruct,0.5B,3
answer_stability,2.5033333333333334,0.0026111111111111,0.0883888888888888,0.0857777777777777,0.0066666666666666,0.9933333333333332,1.4833333333333334,run,real_traces_l4_qwen_0p5b,real_traces_l4_qwen_0p5b,Qwen 0.5B,Qwen2.5 instruct,0.5B,4
entropy_plateau,2.6633333333333336,-0.0042777777777777,0.0883888888888888,0.0926666666666666,0.0055555555555555,0.9944444444444444,1.6422222222222222,run,real_traces_l4_qwen_0p5b,real_traces_l4_qwen_0p5b,Qwen 0.5B,Qwen2.5 instruct,0.5B,5
hazard_drift,3.894444444444445,-0.0647222222222222,0.0883888888888888,0.1531111111111111,0.0033333333333333,0.9955555555555556,2.868888888888889,run,real_traces_l4_qwen_0p5b,real_traces_l4_qwen_0p5b,Qwen 0.5B,Qwen2.5 instruct,0.5B,6
verifier_first_correct,9.22222222222222,-0.3211111111111111,0.0883888888888888,0.4095,0.0,0.91,8.19,run,real_traces_l4_qwen_0p5b,real_traces_l4_qwen_0p5b,Qwen 0.5B,Qwen2.5 instruct,0.5B,7
empirical_bernstein,9.0,-0.3222222222222222,0.0883888888888888,0.4106111111111111,0.0,1.0,7.967777777777778,run,real_traces_l4_qwen_0p5b,real_traces_l4_qwen_0p5b,Qwen 0.5B,Qwen2.5 instruct,0.5B,8
never_stop,10.0,-0.3711111111111111,0.0883888888888888,0.4595,0.0,1.0,8.967777777777778,run,real_traces_l4_qwen_0p5b,real_traces_l4_qwen_0p5b,Qwen 0.5B,Qwen2.5 instruct,0.5B,9
