trajectory_type,step,entropy_mean,confidence,hidden_l2_shift,hidden_cosine_shift,answer_changed,verbose_confidence_proxy,correct
corruption,1,0.3896484375,91.66666666666667,0.0,0.0,0.0,1.785,1.0
corruption,2,0.3043009440104167,91.66666666666667,29.572879473368328,0.032952258984247786,0.5,1.6516666666666666,0.5
corruption,3,0.140533447265625,91.66666666666667,18.2085755666097,0.014214277267456,0.0,1.6433333333333333,0.5
corruption,4,0.391357421875,85.83333333333333,39.17960242430369,0.09559560815493262,0.16666666666666666,1.5583333333333333,0.3333333333333333
corruption,5,0.21925862630208334,91.66666666666667,35.85331360499064,0.07845204075177505,0.16666666666666666,1.5416666666666667,0.5
corruption,6,0.157012939453125,91.66666666666667,22.30509316921234,0.03512574235598242,0.0,1.575,0.5
corruption,7,0.14801025390625,84.16666666666667,34.806883096694946,0.07431560754775994,0.16666666666666666,1.7816666666666665,0.3333333333333333
corruption,8,0.23949178059895834,94.16666666666667,53.929776986440025,0.11639124155044552,0.0,1.6533333333333333,0.3333333333333333
corruption,9,0.186614990234375,80.83333333333333,57.014089028040566,0.11513151725133257,0.16666666666666666,2.143333333333333,0.0
corruption,10,0.3019002278645833,94.16666666666667,56.07311407725016,0.10787516832351679,0.5,1.665,0.5
persistent_correct,1,0.3959076980064655,94.89655172413794,0.0,0.0,0.0,1.7536206896551723,1.0
persistent_correct,2,0.2438196642645474,92.3103448275862,37.40629913066996,0.05643239103514568,0.0,1.648103448275862,1.0
persistent_correct,3,0.18787989123114224,93.94827586206897,26.498374009954517,0.03912447238790572,0.0,1.5912068965517243,1.0
persistent_correct,4,0.1996007458917026,93.94827586206897,16.577569686133288,0.020459482382083716,0.0,1.5546551724137931,1.0
persistent_correct,5,0.19288793103448276,94.29310344827586,15.086758749238376,0.023996493939695645,0.0,1.5482758620689654,1.0
persistent_correct,6,0.19114106276939655,94.20689655172414,13.060109631768588,0.0179005111085957,0.0,1.556896551724138,1.0
persistent_correct,7,0.17994953023976293,94.55172413793103,13.524942624157873,0.018385762798375047,0.0,1.576551724137931,1.0
persistent_correct,8,0.17134988719019398,94.46551724137932,14.619260442667994,0.026965686987186255,0.0,1.522758620689655,1.0
persistent_correct,9,0.1571355359307651,94.37931034482759,9.500024705097593,0.009046001680966037,0.0,1.5174137931034484,1.0
persistent_correct,10,0.16645286823141164,95.06896551724138,12.940584055308637,0.023244711859472817,0.0,1.5298275862068966,1.0
persistent_wrong,1,0.5443692050137363,93.26984126984127,0.0,0.0,0.0,1.5606593406593408,0.0
persistent_wrong,2,0.3160907526447077,90.59218559218559,37.920199101952264,0.060398638284832225,0.2039072039072039,1.5343101343101342,0.0
persistent_wrong,3,0.25015057574261673,91.65079365079364,28.21815113794236,0.04118776849046873,0.09645909645909646,1.5240537240537242,0.0
persistent_wrong,4,0.2337365528893849,92.15140415140415,23.733664313224356,0.03635741313589648,0.07326007326007326,1.5294017094017094,0.0
persistent_wrong,5,0.21938773913261217,91.77899877899878,20.947076766336647,0.03076915179125696,0.05128205128205128,1.5338583638583638,0.0
persistent_wrong,6,0.21675093095381182,91.4908424908425,21.639715910540104,0.03426895826436365,0.04395604395604396,1.5270940170940173,0.0
persistent_wrong,7,0.20731544727516407,91.73137973137973,21.069189387800055,0.03371330986529475,0.04151404151404151,1.5296703296703296,0.0
persistent_wrong,8,0.19988316872472145,91.57997557997558,20.435009507469204,0.03419743105314294,0.05128205128205128,1.5365811965811966,0.0
persistent_wrong,9,0.1944803463815915,91.5995115995116,20.518597922918996,0.03366927797104408,0.05372405372405373,1.5395726495726496,0.0
persistent_wrong,10,0.1842945364368704,91.4114774114774,19.720147987861772,0.031391668741810694,0.047619047619047616,1.542075702075702,0.0
repair,1,0.5080422794117647,93.23529411764706,0.0,0.0,0.0,1.7064705882352942,0.0
repair,2,0.4004049862132353,94.6470588235294,49.735156788545495,0.08359099486294912,0.6470588235294118,1.7052941176470586,0.5882352941176471
repair,3,0.2918054917279412,89.11764705882354,31.304652326247272,0.038310387555290634,0.29411764705882354,1.648235294117647,0.7647058823529411
repair,4,0.3051362879136029,89.11764705882354,35.46065605387968,0.05938750154831826,0.17647058823529413,1.6158823529411763,0.8235294117647058
repair,5,0.2568933823529412,89.17647058823529,31.716367469114417,0.0556484040092019,0.11764705882352941,1.67,0.7058823529411765
repair,6,0.3013736500459559,86.23529411764706,34.5903634744532,0.05825235563165997,0.11764705882352941,1.6276470588235294,0.7058823529411765
repair,7,0.20538330078125,90.82352941176471,32.24828502711128,0.05447440287646121,0.058823529411764705,1.6629411764705881,0.7647058823529411
repair,8,0.25374827665441174,89.05882352941177,29.562778066186343,0.04784203276914704,0.11764705882352941,1.698235294117647,0.7058823529411765
repair,9,0.25005385454963236,89.17647058823529,26.746227208305807,0.04459858641904939,0.11764705882352941,1.6605882352941177,0.7058823529411765
repair,10,0.18782671760110295,83.52941176470588,30.2691808868857,0.05523339439840874,0.23529411764705882,1.616470588235294,0.5882352941176471
