trajectory_type,step,entropy_mean,confidence,hidden_l2_shift,hidden_cosine_shift,answer_changed,verbose_confidence_proxy,correct
corruption,1,0.2127659574468085,50.0,0.0,0.0,0.0,1.3971631205673758,1.0
corruption,2,0.26859278036347517,50.53191489361702,63.729946799312074,0.13911203712436318,0.8723404255319149,1.1499290780141844,0.1276595744680851
corruption,3,0.2561719096298759,53.794326241134755,59.38168150989722,0.13266194759742583,0.6276595744680851,1.1553191489361703,0.25177304964539005
corruption,4,0.21779854416001773,73.75886524822695,57.80071169264773,0.1493484273235848,0.5070921985815603,1.3464539007092198,0.6170212765957447
corruption,5,0.19355784747617463,87.76241134751773,47.10002676815006,0.11516244635514329,0.24468085106382978,1.4707801418439717,0.776595744680851
corruption,6,0.14943938559674202,92.21631205673759,35.012484087166214,0.07597714451187887,0.11702127659574468,1.5076241134751773,0.8368794326241135
corruption,7,0.12368428115303634,94.87588652482269,28.42528528017355,0.05658165582105619,0.06028368794326241,1.5467375886524823,0.8546099290780141
corruption,8,0.09833791746315382,96.36524822695036,23.9118086361716,0.0460446954618954,0.028368794326241134,1.5381205673758864,0.8687943262411347
corruption,9,0.08333171005790116,97.3936170212766,20.4150188290481,0.03859742059775274,0.010638297872340425,1.5672340425531914,0.875886524822695
corruption,10,0.052371843486812945,98.63475177304964,18.731842999762677,0.029330476167354128,0.0,1.5826241134751773,0.875886524822695
persistent_correct,1,0.19172469429347827,50.0,0.0,0.0,0.0,1.5541304347826086,1.0
persistent_correct,2,0.2853367017663043,57.391304347826086,70.20166546365489,0.17849016189575193,0.0,1.2439130434782608,1.0
persistent_correct,3,0.22776197350543478,87.5,74.92975355231243,0.2375923025867213,0.0,1.4532608695652172,1.0
persistent_correct,4,0.20824133831521738,94.56521739130434,49.08619511645773,0.1320012976293978,0.0,1.4778260869565218,1.0
persistent_correct,5,0.18589185631793478,96.73913043478261,34.470194630000904,0.07320405218912203,0.0,1.4828260869565215,1.0
persistent_correct,6,0.15154763926630435,97.82608695652173,27.649599044219308,0.04862788319587703,0.0,1.485,1.0
persistent_correct,7,0.11543738323709239,97.82608695652173,24.017753849858824,0.043937385082244824,0.0,1.5019565217391304,1.0
persistent_correct,8,0.08507371985394022,97.82608695652173,17.863015226695847,0.02638374852097549,0.0,1.4965217391304348,1.0
persistent_correct,9,0.08751910665760869,96.73913043478261,18.30669677257538,0.02624567824861273,0.0,1.4808695652173913,1.0
persistent_correct,10,0.03962044093919837,97.82608695652173,16.135239103566047,0.020048273646313165,0.0,1.496304347826087,1.0
persistent_wrong,1,0.3094261220637584,50.0,0.0,0.0,0.0,1.1485906040268457,0.0
persistent_wrong,2,0.2885185088087248,50.0,68.40915503277874,0.143949605474536,0.8389261744966443,1.1550335570469799,0.0
persistent_wrong,3,0.2767211094798658,51.34228187919463,58.27743132162414,0.10463255043797841,0.6711409395973155,1.206979865771812,0.0
persistent_wrong,4,0.2799981648489933,60.939597315436245,61.802889766309086,0.1333065995033955,0.5369127516778524,1.2734228187919463,0.0
persistent_wrong,5,0.2504735345008389,74.56375838926175,60.78098332321884,0.14935336016968587,0.4697986577181208,1.3524161073825502,0.0
persistent_wrong,6,0.20787509175755034,80.73825503355705,44.09941992663697,0.08604235537100154,0.2214765100671141,1.4061744966442953,0.0
persistent_wrong,7,0.1691222734899329,84.96644295302013,39.89296553758967,0.08434054715521379,0.16778523489932887,1.439463087248322,0.0
persistent_wrong,8,0.12239105429425336,89.22818791946308,29.87694045201244,0.05584723757417405,0.10067114093959731,1.4838255033557046,0.0
persistent_wrong,9,0.11636966986944211,90.39597315436242,25.216237807433878,0.0472852211670587,0.06040268456375839,1.4881208053691275,0.0
persistent_wrong,10,0.06948617000707843,94.36241610738254,21.840483687868055,0.035581983975916054,0.026845637583892617,1.5413422818791946,0.0
repair,1,0.2778378028959811,50.0,0.0,0.0,0.0,1.133002364066194,0.0
repair,2,0.25435643838652483,50.0709219858156,68.24528716247414,0.14872372122239275,0.8652482269503546,1.2041843971631205,0.11347517730496454
repair,3,0.2374028054816785,52.74231678486998,57.11111906516073,0.10978772235818503,0.7186761229314421,1.2485815602836878,0.2553191489361702
repair,4,0.22910664154846336,66.15839243498817,60.638625839359655,0.14178890373830816,0.557919621749409,1.3247990543735224,0.5602836879432624
repair,5,0.21183470236776006,80.74468085106383,56.16237741384664,0.14512467581611432,0.3735224586288416,1.4129550827423167,0.7848699763593381
repair,6,0.16080253005873227,86.96217494089835,40.507533776844646,0.0900468473316084,0.1536643026004728,1.4801654846335697,0.8841607565011821
repair,7,0.1404559629183289,91.64302600472813,33.42321655372638,0.07032348881376546,0.1016548463356974,1.5248936170212766,0.9101654846335697
repair,8,0.09777889747709811,95.28368794326241,26.226768058524346,0.050218786612751865,0.06855791962174941,1.560401891252955,0.9385342789598109
repair,9,0.08804649551427675,95.69739952718676,22.001217323555732,0.039294605559491054,0.037825059101654845,1.5558628841607565,0.9645390070921985
repair,10,0.051812390627308656,97.38770685579196,18.04047087631045,0.0278958313994937,0.02127659574468085,1.5709929078014184,0.9645390070921985
