detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity
oracle,2.9386666666666668,0.5370666666666667,0.5370666666666667,0.0,0.0,0.0,0.0
hazard_drift,2.07,0.22316666666666668,0.5370666666666667,0.3139,0.34933333333333333,0.03933333333333333,0.056666666666666664
e_process,3.2,0.15266666666666667,0.5370666666666667,0.3844,0.23066666666666666,0.5753333333333334,0.8193333333333334
empirical_bernstein,7.0,-0.028000000000000004,0.5370666666666667,0.5650666666666667,0.032,0.9366666666666666,4.093333333333334
never_stop,8.0,-0.06466666666666668,0.5370666666666667,0.6017333333333333,0.0,0.968,5.061333333333334
