detector,mean_stop_step,mean_stop_utility,mean_oracle_utility,mean_oracle_gap,false_early_rate,false_late_rate,mean_false_late_severity,aggregation_level,group_name,run_name,run_label,family,parameter_count,rank
oracle,2.8516666666666666,0.6464166666666666,0.6464166666666666,0.0,0.0,0.0,0.0,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,1
verifier_first_correct,3.7893333333333334,0.6218666666666667,0.6464166666666666,0.02454999999999995,0.3083333333333333,0.23866666666666664,1.432,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,2
hazard_drift,2.5466666666666664,0.3406666666666666,0.6464166666666666,0.30574999999999997,0.2809999999999999,0.21066666666666664,0.38366666666666666,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,3
first_answer,1.0,0.3083333333333333,0.6464166666666666,0.3380833333333333,1.0,0.0,0.0,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,4
entropy_plateau,4.001333333333333,0.28059999999999996,0.6464166666666666,0.3658166666666666,0.17066666666666663,0.5826666666666667,1.5413333333333334,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,5
e_process,4.7,0.21033333333333332,0.6464166666666666,0.4360833333333333,0.13099999999999995,0.7566666666666666,2.1533333333333333,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,6
answer_stability,7.4063333333333325,0.1116833333333333,0.6464166666666666,0.5347333333333334,0.004666666666666651,0.9436666666666667,4.566666666666666,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,7
empirical_bernstein,7.0,0.1023333333333333,0.6464166666666666,0.5440833333333334,0.022333333333333302,0.9510000000000001,4.170666666666667,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,8
never_stop,8.0,0.05233333333333336,0.6464166666666666,0.5940833333333333,0.0,0.9776666666666666,5.148333333333333,family,DeepSeek-R1 distill,,DeepSeek-R1 distill,DeepSeek-R1 distill,family-average,9
first_answer,1.0,0.8833333333333333,0.8500999999999999,-0.0332333333333333,1.0,0.0,0.0,family,InternLM3,,InternLM3,InternLM3,family-average,1
verifier_first_correct,1.656,0.8805333333333333,0.8500999999999999,-0.0304333333333333,0.8833333333333333,0.0866666666666666,0.52,family,InternLM3,,InternLM3,InternLM3,family-average,2
oracle,2.0246666666666666,0.8500999999999999,0.8500999999999999,0.0,0.0,0.0,0.0,family,InternLM3,,InternLM3,InternLM3,family-average,3
answer_stability,2.056666666666666,0.8371666666666666,0.8500999999999999,0.0129333333333333,0.0106666666666666,0.05,0.0513333333333333,family,InternLM3,,InternLM3,InternLM3,family-average,4
e_process,2.0,0.8366666666666667,0.8500999999999999,0.0134333333333333,0.0146666666666666,0.0,0.0,family,InternLM3,,InternLM3,InternLM3,family-average,5
empirical_bernstein,2.0,0.8366666666666667,0.8500999999999999,0.0134333333333333,0.0146666666666666,0.0,0.0,family,InternLM3,,InternLM3,InternLM3,family-average,5
hazard_drift,2.6146666666666665,0.8112666666666666,0.8500999999999999,0.0388333333333333,0.0066666666666666,0.268,0.604,family,InternLM3,,InternLM3,InternLM3,family-average,6
entropy_plateau,2.575333333333333,0.8112333333333333,0.8500999999999999,0.0388666666666666,0.008,0.296,0.566,family,InternLM3,,InternLM3,InternLM3,family-average,7
never_stop,8.0,0.5459999999999999,0.8500999999999999,0.3041,0.0,1.0,5.975333333333333,family,InternLM3,,InternLM3,InternLM3,family-average,8
verifier_first_correct,2.103333333333333,0.8775,0.8528666666666667,-0.0246333333333333,0.5833333333333334,0.0673333333333333,0.404,family,Llama 3.1,,Llama 3.1,Llama 3.1,family-average,1
oracle,2.329333333333333,0.8528666666666667,0.8528666666666667,0.0,0.0,0.0,0.0,family,Llama 3.1,,Llama 3.1,Llama 3.1,family-average,2
answer_stability,2.819333333333333,0.7290333333333333,0.8528666666666667,0.1238333333333333,0.0566666666666666,0.3966666666666666,0.6093333333333333,family,Llama 3.1,,Llama 3.1,Llama 3.1,family-average,3
hazard_drift,2.726,0.7197,0.8528666666666667,0.1331666666666666,0.074,0.3466666666666667,0.5406666666666666,family,Llama 3.1,,Llama 3.1,Llama 3.1,family-average,4
entropy_plateau,3.119333333333333,0.6900333333333333,0.8528666666666667,0.1628333333333333,0.0626666666666666,0.4753333333333333,0.9246666666666666,family,Llama 3.1,,Llama 3.1,Llama 3.1,family-average,5
e_process,3.2,0.6446666666666667,0.8528666666666667,0.2081999999999999,0.0686666666666666,0.84,1.0073333333333334,family,Llama 3.1,,Llama 3.1,Llama 3.1,family-average,6
first_answer,1.0,0.5833333333333334,0.8528666666666667,0.2695333333333333,1.0,0.0,0.0,family,Llama 3.1,,Llama 3.1,Llama 3.1,family-average,7
empirical_bernstein,7.0,0.472,0.8528666666666667,0.3808666666666666,0.0033333333333333,0.988,4.674,family,Llama 3.1,,Llama 3.1,Llama 3.1,family-average,8
never_stop,8.0,0.4206666666666666,0.8528666666666667,0.4322,0.0,0.9966666666666668,5.6706666666666665,family,Llama 3.1,,Llama 3.1,Llama 3.1,family-average,9
verifier_first_correct,2.216666666666667,0.8685,0.8569333333333332,-0.0115666666666666,0.536,0.0706666666666666,0.424,family,Mistral Small,,Mistral Small,Mistral Small,family-average,1
oracle,2.341333333333333,0.8569333333333332,0.8569333333333332,0.0,0.0,0.0,0.0,family,Mistral Small,,Mistral Small,Mistral Small,family-average,2
answer_stability,2.675333333333333,0.7582333333333333,0.8569333333333332,0.0986999999999999,0.0646666666666666,0.3813333333333333,0.4473333333333333,family,Mistral Small,,Mistral Small,Mistral Small,family-average,3
hazard_drift,2.881333333333333,0.7559333333333332,0.8569333333333332,0.1009999999999999,0.054,0.442,0.6293333333333333,family,Mistral Small,,Mistral Small,Mistral Small,family-average,4
entropy_plateau,2.953333333333333,0.7323333333333333,0.8569333333333332,0.1245999999999999,0.0753333333333333,0.458,0.7506666666666667,family,Mistral Small,,Mistral Small,Mistral Small,family-average,5
