run_name,run_label,model_alias,model_name,family,parameter_count,backend,device,quantization,device_map,task_source,dataset_split,dataset_shuffle_seed,max_tasks,max_steps,max_new_tokens,temperatures,seeds,step_cost,prompt_mode,system_prompt_mode,step1_accuracy,peak_accuracy,peak_step,corrected_boundary_step,empirical_boundary_step,pooled_proxy_boundary_step,fitted_boundary_step,repair_rate_overall,corruption_rate_overall,hazard_rule_gap,e_process_gap,never_stop_gap,probe_brier,probe_auc,runs_ever_correct,capability_gate_met,total_repairs,total_corruptions,best_detector,strongest_correctness_signal,strongest_correctness_feature,strongest_corruption_signal,strongest_corruption_feature,legacy_proxy_mismatch,late_boundary_assessment,task_alignment_ok,task_alignment_note
deepseek_r1_distill_1p5b__arc,DeepSeek 1.5B,deepseek_r1_distill_1p5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1 distill,1.5B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.26066666666666666,0.2853333333333333,8,2.0,2.0,2.0,2.0,0.1734580621162785,0.4576447304931886,0.3139,0.3844,0.6017333333333333,0.2458720349772312,0.5565922634769844,997,True,1331,1294,verifier_first_correct,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.162)",verbose_confidence_proxy,"answer revision flag (answer_changed, coeff=0.520)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
deepseek_r1_distill_7b__arc,DeepSeek 7B,deepseek_r1_distill_7b,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1 distill,7B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.356,0.5446666666666666,5,2.0,2.0,2.0,3.0,0.3232860628735312,0.290666011155433,0.2976,0.4877666666666666,0.5864333333333334,0.207344445237054,0.7316135315080863,1287,True,1737,1492,verifier_first_correct,"self-reported confidence (confidence, coeff=0.835)",confidence,"answer revision flag (answer_changed, coeff=0.364)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_0p5b__arc,Qwen 0.5B,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 instruct,0.5B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.3873333333333333,0.39866666666666667,6,2.0,2.0,2.0,2.0,0.0531786404654315,0.0796114833700162,0.0958,0.0773666666666666,0.3686999999999999,0.2500328135871222,0.5266098285804302,751,True,340,327,first_answer,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.165)",verbose_confidence_proxy,"hidden-state L2 drift (hidden_l2_shift, coeff=0.848)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_3b__arc,Qwen 3B,qwen2p5_3b,Qwen/Qwen2.5-3B-Instruct,Qwen2.5 instruct,3B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.71,0.71,1,2.0,2.0,2.0,2.0,0.092848580221604,0.0452886724872079,0.0824333333333333,0.0800666666666666,0.3754,0.2296727443651878,0.6626198572961477,1207,True,300,330,verifier_first_correct,"self-reported confidence (confidence, coeff=0.762)",confidence,"entropy volatility (entropy_std, coeff=0.624)",entropy_std,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_7b__arc,Qwen 7B,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,Qwen2.5 instruct,7B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.872,0.904,5,2.0,2.0,2.0,3.0,0.0763472731637364,0.005183748663644,0.0523333333333333,0.0166,0.3086,0.2294352218461283,0.64246224749268,1391,True,95,48,verifier_first_correct,"token entropy (entropy_mean, coeff=-0.758)",entropy_mean,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=1.086)",verbose_confidence_proxy,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_14b__arc,Qwen 14B,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,Qwen2.5 instruct,14B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.934,0.9433333333333334,3,2.0,2.0,2.0,3.0,0.0470601012057811,0.0019272871342182,0.0473333333333333,0.0062666666666666,0.3056,0.2198236399735282,0.6791105178457815,1426,True,31,19,first_answer,"self-reported confidence (confidence, coeff=0.589)",confidence,"reasoning length (thought_token_count, coeff=1.055)",thought_token_count,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_32b__arc,Qwen 32B,qwen2p5_32b,Qwen/Qwen2.5-32B-Instruct,Qwen2.5 instruct,32B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.9053333333333333,0.9566666666666667,6,2.0,2.0,2.0,4.0,0.1161293949137288,0.0014267879883084,0.0839333333333333,0.0179,0.3039,0.2008916768998166,0.6944708923076923,1448,True,91,14,verifier_first_correct,"self-reported confidence (confidence, coeff=1.789)",confidence,"self-reported confidence (confidence, coeff=4.455)",confidence,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
mistral_7b_instruct_v0p3__arc,Mistral instruct 7B,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,Mistral instruct,7B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.7233333333333334,0.7233333333333334,1,2.0,2.0,2.0,2.0,0.0968911001942832,0.046263604203845,0.0752666666666666,0.0708666666666666,0.3762,0.226092029644685,0.6600731985873726,1224,True,303,342,verifier_first_correct,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.447)",verbose_confidence_proxy,"hidden-state L2 drift (hidden_l2_shift, coeff=0.865)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
phi_4_mini_instruct__arc,Phi 4 4B,phi_4_mini_instruct,microsoft/Phi-4-mini-instruct,Phi 4,4B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.6146666666666667,0.7086666666666667,6,2.0,2.0,2.0,2.0,0.414438282060288,0.1861628336555619,0.1530333333333333,0.4209,0.4735666666666667,0.2005952315108402,0.7468368394800928,1389,True,1441,1300,verifier_first_correct,"self-reported confidence (confidence, coeff=0.761)",confidence,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=0.468)",verbose_confidence_proxy,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
internlm3_8b_instruct__arc,InternLM3 8B,internlm3_8b_instruct,internlm/InternLM3-8B-Instruct,InternLM3,8B,transformers+torch(cuda),cuda,none,,arc,test,17,500,8,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.8833333333333333,0.896,7,2.0,2.0,2.0,2.0,0.050532909794448,0.0044069433549171,0.0388333333333333,0.0134333333333333,0.3041,0.2354865369875979,0.6098504672897196,1370,True,60,41,first_answer,"reasoning length (thought_token_count, coeff=-0.288)",thought_token_count,"hidden-state L2 drift (hidden_l2_shift, coeff=1.354)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
